"city","lat","lng","population","country"
"Backi Petrovac","45.3564","19.5883","6727","Serbia"
"Alibunar","45.0808","20.9658","3431","Serbia"
"Centa","45.1050","20.3861","3119","Serbia"
"Srednji Salas","45.7519","19.4761","172","Serbia"
"Novi Sad","45.2644","19.8317","380000","Serbia"
"Botos","45.3084","20.6351","1860","Serbia"
"Doline","45.9603","19.8733","516","Serbia"
"Ostojicevo","45.8908","20.1642","2844","Serbia"
"Zabalj","45.3667","20.0667","9161","Serbia"
"Valjevo","44.2667","19.8833","90312","Serbia"
"Vrbica","46.0111","20.3128","404","Serbia"
"Adorjan","45.9972","20.0403","1128","Serbia"
"Crna Trava","42.8101","22.2990","434","Serbia"
"Banatski Monostor","45.9611","20.2819","135","Serbia"
"Jankov Most","45.4711","20.4361","636","Serbia"
"Cacak","43.8914","20.3497","71883","Serbia"
"Donja Nevlja","42.9000","22.8167","1","Serbia"
"Bogatic","44.8375","19.4806","6488","Serbia"
"Bagremovo","45.7439","19.8142","204","Serbia"
"Sjenica","43.2667","20.0000","14060","Serbia"
"Backi Sokolac","45.8494","19.5394","609","Serbia"
"Gunaros","45.7592","19.8292","1441","Serbia"
"Micunovo","45.8328","19.6675","516","Serbia"
"Stara Moravica","45.8689","19.4661","5051","Serbia"
"Kraljevo","43.7234","20.6870","66688","Serbia"
"Jazovo","45.9025","20.2164","978","Serbia"
"Ada","45.8014","20.1222","10547","Serbia"
"Zemun","44.8500","20.4000","161596","Serbia"
"Malo Srediste","45.1503","21.3969","89","Serbia"
"Melenci","45.5083","20.3169","6737","Serbia"
"Kamenica","43.3758","21.9419","3700","Serbia"
"Kusic","44.8758","21.4789","1361","Serbia"
"Perlez","45.2047","20.3756","3818","Serbia"
"Backa Topola","45.8089","19.6350","16171","Serbia"
"Backa Palanka","45.2506","19.3886","29449","Serbia"
"Klek","45.4197","20.4747","2959","Serbia"
"Sanad","45.9761","20.1078","1314","Serbia"
"Kaluderovo","44.9003","21.5514","132","Serbia"
