"city","lat","lng","population","country"
"Calvao","41.7894","-7.5442","450","Portugal"
"Aboim","41.3289","-8.0678","652","Portugal"
"Aricera","41.0986","-7.6561","236","Portugal"
"Odemira","37.5833","-8.6333","26066","Portugal"
"Mertola","37.6333","-7.6500","7274","Portugal"
"Arez","39.4847","-7.7250","362","Portugal"
"Trancoso","40.7833","-7.3500","9878","Portugal"
"Pinhel","40.7833","-7.0667","9627","Portugal"
"Sao Roque do Pico","38.5167","-28.3167","3388","Portugal"
"Segadais","40.6058","-8.4911","1169","Portugal"
"Nazare","39.6000","-9.0667","15158","Portugal"
"Caldas da Rainha","39.4069","-9.1363","51729","Portugal"
"Malpartida","40.7600","-6.8667","206","Portugal"
"Estremoz","38.8422","-7.5881","14318","Portugal"
"Vilela","41.9167","-8.4342","196","Portugal"
"Castro Daire","40.9000","-7.9333","15339","Portugal"
"Valpacos","41.6075","-7.3100","4421","Portugal"
"Caminha","41.8779","-8.8382","1346","Portugal"
"Sao Jorge","41.8256","-8.3775","718","Portugal"
"Serta","39.8008","-8.1003","15880","Portugal"
"Ribamar","39.2025","-9.3325","2080","Portugal"
"Madalena","38.5356","-28.5234","6049","Portugal"
"Faro","37.0161","-7.9350","64560","Portugal"
"Fermentelos","40.5667","-8.5167","3258","Portugal"
"Ribeira de Pena","41.5167","-7.8000","6544","Portugal"
"Pampilhosa da Serra","40.0500","-7.9500","4756","Portugal"
"Lousa","39.9378","-7.3792","752","Portugal"
"Lousa","40.1125","-8.2469","17604","Portugal"
"Tourigo","40.4928","-8.1889","571","Portugal"
"Avis","39.0500","-7.8833","4571","Portugal"
"Poiares","40.2167","-8.2500","7281","Portugal"
"Macedo de Cavaleiros","41.5333","-6.9500","15776","Portugal"
"Cabeceiras de Basto","41.5167","-8.0000","16710","Portugal"
"Rio Tinto","41.1833","-8.5667","50713","Portugal"
"Canas de Senhorim","40.5167","-7.9000","3509","Portugal"
"Alfena","41.2395","-8.5244","20000","Portugal"
"Penacova","40.2667","-8.2667","15251","Portugal"
"Almodovar","37.5114","-8.0603","7449","Portugal"
"Monforte","39.0500","-7.4333","3329","Portugal"
"Mesao Frio","41.1667","-7.8833","4433","Portugal"
"Tavira","37.1309","-7.6506","26167","Portugal"
"Mirandela","41.4833","-7.1833","23850","Portugal"
"Corroios","38.6500","-9.1500","46475","Portugal"
"Marvao","39.3942","-7.3772","3512","Portugal"
"Souto","41.8181","-8.4433","622","Portugal"
"Mafra","38.9333","-9.3333","76685","Portugal"
"Beja","38.0333","-7.8833","35854","Portugal"
"Nogueira","41.9575","-8.6963","242","Portugal"
"Penela","40.0333","-8.3833","5983","Portugal"
"Painho","39.3022","-9.0494","1367","Portugal"
"Vila Franca do Campo","37.7167","-25.4333","11229","Portugal"
"Joane","41.4333","-8.4167","7528","Portugal"
"Vila Nova de Foz Coa","41.0833","-7.1333","7312","Portugal"
"Setubal","38.5243","-8.8926","121185","Portugal"
"Carrazeda de Anciaes","41.2500","-7.3000","6373","Portugal"
"Tramagal","39.4583","-8.2461","3500","Portugal"
"Caparrosa","40.6250","-8.0906","910","Portugal"
"Vila Vicosa","38.7500","-7.4333","8319","Portugal"
"Vila Nova de Gaia","41.1333","-8.6167","302295","Portugal"
"Baiao","41.1667","-8.0333","20522","Portugal"
"Camara de Lobos","32.6500","-16.9667","35666","Portugal"
"Ferreira do Zezere","39.7000","-8.2833","8619","Portugal"
"Carvalhal Meao","40.4444","-7.1264","51","Portugal"
"Ilhavo","40.6000","-8.6667","40349","Portugal"
"Ribeira Brava","32.6722","-17.0639","13375","Portugal"
"Sobral de Monte Agraco","39.0167","-9.1500","10156","Portugal"
"Angra do Heroismo","38.6558","-27.2153","35402","Portugal"
"Espinho","41.0100","-8.6400","31786","Portugal"
"Murtosa","40.7369","-8.6386","10585","Portugal"
"Alfandega da Fe","41.3500","-6.9667","5104","Portugal"
"Lajes","38.4000","-28.2500","4711","Portugal"
"Porto Moniz","32.8667","-17.1667","2711","Portugal"
"Montijo","38.7049","-8.9757","51222","Portugal"
"Oliveira do Bairro","40.5167","-8.5000","23028","Portugal"
"Miranda do Corvo","40.1000","-8.3333","13098","Portugal"
"Vila Franca de Xira","38.9500","-8.9833","136886","Portugal"
"Mora","38.9333","-8.1500","4978","Portugal"
"Campo Maior","39.0167","-7.0667","8456","Portugal"
"Castanheira de Pera","40.0000","-8.2167","3191","Portugal"
"Quarteira","37.0695","-8.1006","16131","Portugal"
"Canico","32.6412","-16.8504","23361","Portugal"
"Estoril","38.7057","-9.3977","26399","Portugal"
"Calheta","38.6000","-28.0167","3773","Portugal"
"Alijo","41.2764","-7.4749","11942","Portugal"
"Redondo","38.6464","-7.5464","7031","Portugal"
"Vila Nova da Rainha","39.0372","-8.9336","710","Portugal"
"Falagueira","38.7590","-9.2199","14530","Portugal"
"Mira","40.4285","-8.7363","12465","Portugal"
"Miuzela","40.5106","-7.0050","432","Portugal"
"Vizela","41.3833","-8.3000","23736","Portugal"
"Viana do Alentejo","38.3342","-8.0014","5743","Portugal"
"Pegoes","38.6833","-8.6122","2104","Portugal"
"Almeida","40.7259","-6.9056","7242","Portugal"
"Valado de Frades","39.5892","-9.0194","3308","Portugal"
"Moledo","41.8461","-8.8561","1318","Portugal"
"Remoaes","42.1111","-8.2867","98","Portugal"
"Gafanha da Nazare","40.6333","-8.7167","14021","Portugal"
"Castelo Novo","40.0767","-7.4950","439","Portugal"
"Vila Verde","41.6500","-8.4333","47888","Portugal"
"Oeiras","38.6970","-9.3017","172120","Portugal"
"Carvalhal de Vermilhas","40.6550","-8.1544","229","Portugal"
"Santa Cruz das Flores","39.4500","-31.1167","2289","Portugal"
"Felgueiras","41.3667","-8.2000","58065","Portugal"
"Ferreiros","41.6308","-8.3686","2879","Portugal"
"Estarreja","40.7500","-8.5667","26997","Portugal"
"Extremo","41.9641","-8.4731","160","Portugal"
"Fornos de Algodres","40.6167","-7.5333","4989","Portugal"
"Tomar","39.6000","-8.4167","40677","Portugal"
"Mourao","38.3333","-7.3667","2663","Portugal"
"Manteigas","40.4000","-7.5333","3430","Portugal"
"Horta","38.5333","-28.6333","14994","Portugal"
"Pena","41.2908","-7.8153","540","Portugal"
"Vendas Novas","38.6833","-8.4500","11846","Portugal"
"Bornes de Aguiar","41.5333","-7.6000","2212","Portugal"
"Moita","38.6500","-8.9833","66029","Portugal"
"Alcacer do Sal","38.3725","-8.5133","13046","Portugal"
"Aveiro","40.6389","-8.6553","78450","Portugal"
"Aguada de Baixo","40.5092","-8.4522","1373","Portugal"
"Real","41.5565","-8.4410","4871","Portugal"
"Ponta do Sol","32.6811","-17.1042","8862","Portugal"
"Trofa","41.3374","-8.5596","38999","Portugal"
"Evora","38.5667","-7.9000","55620","Portugal"
"Cubalhao","42.0558","-8.2419","156","Portugal"
"Penafiel","41.2000","-8.2833","72265","Portugal"
"Soure","40.0500","-8.6333","19245","Portugal"
"Belazaima do Chao","40.5328","-8.3647","599","Portugal"
"Tabuaco","41.1167","-7.5667","6350","Portugal"
"Vila de Rei","39.6833","-8.1500","3452","Portugal"
"Gradil","38.9822","-9.2808","1226","Portugal"
"Agadao","40.5397","-8.3144","496","Portugal"
"Almada","38.6803","-9.1583","174030","Portugal"
"Santa Cruz","32.6750","-16.8309","43005","Portugal"
"Moita da Serra","40.2228","-7.8958","168","Portugal"
"Odivelas","38.8000","-9.1833","144549","Portugal"
"Ourem","39.6500","-8.5833","45932","Portugal"
"Sever do Vouga","40.7167","-8.3667","12356","Portugal"
"Parada de Ester","40.9317","-8.0592","790","Portugal"
"Riba de Ave","41.3933","-8.3883","3425","Portugal"
"Vila de Porto Santo","33.0619","-16.3564","5483","Portugal"
"Eirol","40.6108","-8.5369","781","Portugal"
"Vinhais","41.8167","-7.0000","9066","Portugal"
"Navalho","41.3758","-7.2861","130","Portugal"
"Vidigueira","38.2000","-7.8000","5932","Portugal"
"Manique do Intendente","39.2211","-8.8936","1392","Portugal"
"Montemor-o-Velho","40.1667","-8.6833","26171","Portugal"
"Amadora","38.7500","-9.2333","175136","Portugal"
"Valenca","42.0282","-8.6339","14127","Portugal"
"Santana","32.8000","-16.8667","7719","Portugal"
"Ourique","37.6500","-8.2250","5389","Portugal"
"Bretanha","37.8981","-25.7561","1334","Portugal"
"Sao Pedro do Sul","40.7500","-8.0667","16851","Portugal"
"Olhao","37.0278","-7.8389","45396","Portugal"
"Cuba","38.1500","-7.8833","4878","Portugal"
"Coimbra","40.2111","-8.4291","143396","Portugal"
"Trouxemil","40.2756","-8.4528","2999","Portugal"
"Paradela","41.7628","-7.9442","221","Portugal"
"Casteloes de Cepeda","41.2008","-8.3306","7299","Portugal"
"Anadia","40.4333","-8.4333","29150","Portugal"
"Argoncilhe","41.0167","-8.5500","8420","Portugal"
"Freixo de Espada a Cinta","41.0833","-6.8000","3780","Portugal"
"Figueira de Castelo Rodrigo","40.9000","-6.9667","6260","Portugal"
"Vila Real de Santo Antonio","37.2000","-7.4167","19156","Portugal"
"Mondim de Basto","41.4000","-7.9500","7493","Portugal"
"Guilhadezes","41.8325","-8.4305","969","Portugal"
"Idanha-a-Nova","39.9167","-7.2333","9716","Portugal"
"Aver-o-Mar","41.4039","-8.7690","8961","Portugal"
"Olival","41.0711","-8.5272","5812","Portugal"
"Vila Nova da Barquinha","39.4500","-8.4333","7322","Portugal"
"Povoa de Varzim","41.3916","-8.7571","63408","Portugal"
"Macieira de Alcoba","40.6225","-8.2750","84","Portugal"
"Leiria","39.7444","-8.8072","45112","Portugal"
"Benavente","38.9833","-8.8167","29019","Portugal"
"Vila Pouca de Aguiar","41.4833","-7.6333","13187","Portugal"
"Amares","41.6333","-8.3500","18889","Portugal"
"Torre de Moncorvo","41.2000","-7.1333","8572","Portugal"
"Vila do Porto","36.9450","-25.1450","5552","Portugal"
"Cacem","38.7704","-9.3081","21289","Portugal"
"Santa Cruz da Graciosa","39.0833","-28.0167","4391","Portugal"
"Alvaiazere","39.8333","-8.3833","7287","Portugal"
"Costa de Caparica","38.6446","-9.2356","11707","Portugal"
"Lardosa","39.9894","-7.4439","1044","Portugal"
"Arga de Baixo","41.8450","-8.7136","74","Portugal"
"Lousada","41.2833","-8.2833","47387","Portugal"
"Orbacem","41.8094","-8.7722","213","Portugal"
"Santarem","39.2369","-8.6850","62200","Portugal"
"Azambuja","39.0667","-8.8667","21814","Portugal"
"Braganca","41.8000","-6.7500","35341","Portugal"
"Prado","42.1115","-8.2711","452","Portugal"
"Condeixa-a-Nova","40.1167","-8.5000","17080","Portugal"
"Porto de Mos","39.6000","-8.8167","24342","Portugal"
"Sintra","38.7974","-9.3904","377835","Portugal"
"Mata","39.8944","-7.3464","590","Portugal"
