"city","lat","lng","population", "country"
"Mullaittivu","9.2833","80.8000","37339","Sri Lanka"
"Negombo","7.2111","79.8386","142136","Sri Lanka"
"Nuwara Eliya","6.9667","80.7667","27500","Sri Lanka"
"Sri Jayewardenepura Kotte","6.9000","79.9164","115826","Sri Lanka"
"Hambantota","6.1241","81.1185","11213","Sri Lanka"
"Mannar","8.9772","79.9138","35000","Sri Lanka"
"Jaffna","9.6647","80.0167","88138","Sri Lanka"
"Colombo","6.9167","79.8333","752993","Sri Lanka"
"Matale","7.4667","80.6167","36451","Sri Lanka"
"Kegalle","7.2531","80.3453","17962","Sri Lanka"
"Badulla","6.9847","81.0564","42923","Sri Lanka"
"Kandy","7.2970","80.6385","161000","Sri Lanka"
"Matara","5.9500","80.5333","68244","Sri Lanka"
"Anuradhapura","8.3350","80.4108","63208","Sri Lanka"
"Trincomalee","8.5667","81.2333","99135","Sri Lanka"
"Ratnapura","6.6930","80.3860","47832","Sri Lanka"
"Puttalam","8.0330","79.8260","45661","Sri Lanka"
"Galle","6.0395","80.2194","99478","Sri Lanka"
"Batticaloa","7.7170","81.7000","129222","Sri Lanka"
"Moratuwa","6.7804","79.8800","200000","Sri Lanka"
"Kilinochchi","9.4004","80.3999","103717","Sri Lanka"
