"city","lat","lng","population","country"
"Zwedru","6.0704","-8.1300","25678","Liberia"
"Harper","4.3754","-7.7170","32661","Liberia"
"Greenville","5.0111","-9.0388","10374","Liberia"
"Kakata","6.5300","-10.3517","33945","Liberia"
"Sanniquellie","7.3710","-8.6850","11415","Liberia"
"Voinjama","8.4167","-9.7500","26594","Liberia"
"Bensonville","6.4456","-10.6097","4089","Liberia"
"Monrovia","6.3106","-10.8047","1021762","Liberia"
"Upper Buchanan","5.9161","-10.0525","48315","Liberia"
"Cestos City","5.4697","-9.5817","2578","Liberia"
"Gbarnga","7.0104","-9.4900","45835","Liberia"
"Barclayville","4.8000","-8.1667","2733","Liberia"
"Robertsport","6.7533","-11.3686","11969","Liberia"
