"city","lat","lng","population", "country"
"Lo Barnechea","-33.3500","-70.5167","105833","Chile"
"Illapel","-31.6327","-71.1683","20751","Chile"
"Reumen","-39.9901","-72.8327","1001","Chile"
"Curarrehue","-39.3500","-71.5833","7489","Chile"
"Frutillar","-41.1258","-73.0605","12876","Chile"
"Temuco","-38.7399","-72.5901","282415","Chile"
"Puerto Natales","-51.7263","-72.5062","19023","Chile"
"San Bernardo","-33.6000","-70.7167","301313","Chile"
"La Granja","-33.5431","-70.6319","116571","Chile"
"Coronel","-37.0167","-73.1333","116262","Chile"
"Cauquenes","-35.9671","-72.3154","31362","Chile"
"Arica","-18.4784","-70.3211","202131","Chile"
"Hornopiren","-41.9662","-72.4706","3629","Chile"
"Chepica","-34.7333","-71.2833","15037","Chile"
"Polcura","-37.2873","-71.7241","1064","Chile"
"San Fernando","-34.5839","-70.9891","58367","Chile"
"Tierra Amarilla","-27.4667","-70.2667","12888","Chile"
"Quillagua","-21.6601","-69.5349","141","Chile"
"Los Lagos","-39.8500","-72.8333","12813","Chile"
"Penaflor","-33.6167","-70.9167","90201","Chile"
"Puerto Octay","-40.9667","-72.9000","8999","Chile"
"Colchane","-19.2754","-68.6396","1649","Chile"
"Las Mariposas","-36.6402","-71.9895","1599","Chile"
"Futaleufu","-43.1858","-71.8667","1831","Chile"
"Talca","-35.4266","-71.6661","206069","Chile"
"Linares","-35.8454","-71.5979","73602","Chile"
"Huasco","-28.4500","-71.2167","2558","Chile"
"Peumo","-34.4000","-71.1667","14313","Chile"
"Tocopilla","-22.0941","-70.2010","24460","Chile"
"Pichilemu","-34.3851","-72.0049","12776","Chile"
"San Felipe","-32.7507","-70.7251","64120","Chile"
"La Calera","-32.7833","-71.2167","50554","Chile"
"Puerto Clocker","-41.0058","-72.7299","19","Chile"
"Monte Aguila","-37.0879","-72.4385","6574","Chile"
"La Cruz","-32.8167","-71.2333","22098","Chile"
"Puerto Aysen","-45.4068","-72.6977","17441","Chile"
"Los Andes","-32.8337","-70.5982","59388","Chile"
"Tome","-36.6171","-72.9575","42312","Chile"
"Zapallar","-32.5528","-71.4588","1414","Chile"
"Combarbala","-31.1667","-71.0500","5134","Chile"
"Chicureo Abajo","-33.2808","-70.6366","10975","Chile"
"Lonquimay","-38.4333","-71.2333","10251","Chile"
"Quintero","-32.7833","-71.5333","31923","Chile"
"Puente Negro","-34.6897","-70.8701","1228","Chile"
"Nercon","-42.5018","-73.7860","1342","Chile"
"Corral","-39.8877","-73.4285","3469","Chile"
"Nueva Imperial","-38.7333","-72.9500","31632","Chile"
"Llico","-34.7652","-72.0781","1190","Chile"
"Castro","-42.4824","-73.7643","33417","Chile"
"Puerto Cisnes","-44.7275","-72.6805","2558","Chile"
