"city","lat","lng","population", "country"
"Kotli","33.5156","73.9019","21462","Pakistan"
"Rahimyar Khan","28.4202","70.2952","353203","Pakistan"
"Islamabad","33.6989","73.0369","1014825","Pakistan"
"Hasilpur","29.6967","72.5542","99171","Pakistan"
"Rawalpindi","33.6007","73.0679","2098231","Pakistan"
"Charsadda","34.1453","71.7308","105414","Pakistan"
"Gilwala","32.2925","74.0506","5968","Pakistan"
"Larkana","27.5600","68.2264","490508","Pakistan"
"Lahore","31.5497","74.3436","11021000","Pakistan"
"Muridke","31.8020","74.2550","163268","Pakistan"
"Abbottabad","34.1500","73.2167","148587","Pakistan"
"Dera Ghazi Khan","30.0500","70.6333","399064","Pakistan"
"Mian Channun","30.4397","72.3544","82586","Pakistan"
"Hujra Shah Muqim","30.7408","73.8219","70204","Pakistan"
"Gujranwala","32.1500","74.1833","2027001","Pakistan"
"Kulachi","31.9286","70.4592","24738","Pakistan"
"Shujaabad","29.8803","71.2950","70595","Pakistan"
"Sialkot City","32.5000","74.5333","655852","Pakistan"
"Khanpur","28.6471","70.6620","160308","Pakistan"
"New Mirpur","33.1333","73.7500","124352","Pakistan"
"Vihari","30.0419","72.3528","128034","Pakistan"
"Mianwali","32.5853","71.5436","95007","Pakistan"
"Hassan Abdal","33.8195","72.6890","50044","Pakistan"
"Abdul Hakim","30.5522","72.1278","51494","Pakistan"
"Jagna Chatha","32.2978","73.9436","600","Pakistan"
"Kahror Pakka","29.6236","71.9167","76098","Pakistan"
"Harunabad","29.6100","73.1361","77206","Pakistan"
"Kot Addu","30.4700","70.9644","120479","Pakistan"
"Sahiwal","30.6706","73.1064","247706","Pakistan"
"Hasanwali","32.3256","73.8967","2714","Pakistan"
"Umarkot","25.3614","69.7361","35059","Pakistan"
"Sambrial","32.4750","74.3522","71766","Pakistan"
"Pakpattan","30.3500","73.4000","139525","Pakistan"
"Karachi","24.8600","67.0100","14835000","Pakistan"
"Swabi","34.1167","72.4667","115018","Pakistan"
"Kundian","32.4522","71.4718","35406","Pakistan"
"Kharian","32.8110","73.8650","85765","Pakistan"
"Okara","30.8100","73.4597","232386","Pakistan"
"Nawabshah","26.2442","68.4100","263102","Pakistan"
"Parachinar","33.8992","70.1008","55685","Pakistan"
"Shekhupura","31.7083","74.0000","473129","Pakistan"
